,timestamp,Humidity,Temperature,Motion,AmbianceLevel,AmbianceType
351,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
352,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
353,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
354,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
355,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
356,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
357,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
358,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
359,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
360,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
361,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
362,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
363,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
364,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
365,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
366,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
367,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
368,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
369,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
370,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
371,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
372,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
373,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
374,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
375,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
376,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
377,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
378,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
379,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
380,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
381,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
382,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
383,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
384,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
385,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
386,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
387,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
388,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
389,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
390,Thu Feb 25 22:21:55 2021,61.0,21.0,1,50,1
391,Thu Feb 25 22:21:55 2021,61.0,21.0,1,50,1
392,Thu Feb 25 22:21:55 2021,61.0,21.0,1,50,1
393,Thu Feb 25 22:21:55 2021,61.0,21.0,1,50,1
394,Thu Feb 25 22:21:55 2021,61.0,21.0,1,50,1
395,Thu Feb 25 22:21:55 2021,61.0,21.0,1,50,1
396,Thu Feb 25 22:21:55 2021,61.0,21.0,1,50,1
397,Thu Feb 25 22:21:55 2021,61.0,21.0,1,50,1
398,Thu Feb 25 22:21:55 2021,61.0,21.0,1,50,1
399,Thu Feb 25 22:21:55 2021,61.0,21.0,1,50,1
400,Thu Feb 25 22:21:55 2021,61.0,21.0,1,50,1
401,Thu Feb 25 22:21:55 2021,61.0,21.0,1,50,1
402,Thu Feb 25 22:21:55 2021,61.0,21.0,1,50,1
403,Thu Feb 25 22:21:55 2021,61.0,21.0,1,50,1
404,Thu Feb 25 22:21:55 2021,61.0,21.0,1,50,1
